state,Cost of Living
Alaska,40437.79
Alabama,35533.21
Arkansas,33428.47
Arizona,38124.82
California,47925.75
Colorado,40497.38
Connecticut,42673.05
Delaware,40477.36
Florida,37907.78
Georgia,36375.1
Hawaii,52245.83
Iowa,34482.19
Idaho,36939.64
Illinois,36232.62
Indiana,33904.07
Kansas,36285.88
Kentucky,34125.49
Louisiana,37078.63
Massachusetts,47979.34
Maryland,40617.65
Maine,38969.93
Michigan,34232.73
Minnesota,34574.28
Missouri,34461.16
Mississippi,35834.57
Montana,37279.83
North Carolina,37242.97
North Dakota,36147.83
Nebraska,37106.28
New Hampshire,37767.25
New Jersey,43782.9
New Mexico,35139.13
Nevada,37602.47
New York,40981.36
Ohio,33114.12
Oklahoma,36476.3
Oregon,40877.51
Pennsylvania,35147.23
Rhode Island,40243.65
South Carolina,35566.28
South Dakota,36170.1
Tennessee,34278.99
Texas,35538.38
Utah,37419.8
Virginia,39570.54
Vermont,42311.45
Washington,37888.06
Wisconsin,35028.6
West Virginia,38346.34
Wyoming,39493.03
